BorrowerState,EmploymentStatus,EmploymentStatusDuration,LoanOriginalAmount
CO,Self-employed,2,9425
CO,Employed,44,10000
GA,Not available,,3001
GA,Employed,113,10000
MN,Employed,44,15000
NM,Employed,82,15000
KS,Employed,172,3000
CA,Employed,103,10000
IL,Employed,269,10000
IL,Employed,269,10000
MD,Employed,300,13500
,Full-time,19,1000
AL,Employed,1,4000
AZ,Employed,98,8500
VA,Employed,35,19330
FL,Other,121,4000
CA,Full-time,133,4000
,Not available,,10000
PA,Employed,179,15000
OR,Employed,18,6500
MN,Employed,175,14000
MI,Full-time,36,3000
NY,Other,68,4000
IL,Employed,3,2000
LA,Employed,91,4000
CA,Employed,15,4000
NY,Employed,25,4000
CO,Full-time,10,4000
PA,Employed,48,10000
LA,Employed,16,35000
CA,Employed,44,10000
WI,Other,44,2000
NY,Employed,269,25000
IL,Employed,7,16000
GA,Other,426,10000
OH,Employed,55,9000
MN,Employed,112,10000
NC,Employed,361,5000
IL,Other,539,7000
WA,Self-employed,276,15000
MI,Employed,76,13000
,Not available,,1500
KS,Employed,25,5000
WA,Employed,32,16000
NV,Employed,28,25000
IL,Full-time,32,4000
CO,Employed,90,15000
NJ,Employed,10,15000
NV,Employed,145,25000
TX,Employed,43,10000
AR,Employed,0,2500
MI,Employed,209,7000
SC,Employed,76,3000
WI,Employed,61,18000
GA,Employed,51,10000
IL,Employed,179,15000
NY,Employed,155,2000
IL,Employed,89,8000
IL,Full-time,80,7000
IL,Employed,195,25000
DE,Employed,103,2000
CA,Full-time,16,23500
MO,Not available,,6000
NJ,Employed,3,5000
CA,Other,427,15000
NE,Not employed,1,1000
CA,Employed,70,3000
,Full-time,34,1000
IL,Self-employed,12,9000
MD,Employed,37,10000
CA,Employed,141,2774
FL,Employed,34,4500
MD,Employed,84,4000
FL,Employed,213,2500
KS,Employed,72,4000
MO,Not available,,2200
VA,Full-time,21,5600
CA,Full-time,68,4800
NY,Employed,173,22500
UT,Employed,55,4000
DC,Employed,51,25000
NY,Employed,47,4000
GA,Employed,117,4000
MA,Employed,213,20000
MN,Employed,93,10000
FL,Employed,131,4500
GA,Employed,127,4000
CO,Employed,5,4000
MD,Employed,76,3500
,Not available,,5000
MN,Employed,25,3500
MN,Employed,166,7000
MO,Employed,33,4000
TX,Employed,48,20000
FL,Employed,42,15000
GA,Employed,30,2000
VA,Employed,189,4000
MO,Other,192,10000
CA,Not employed,12,4000
IL,Full-time,193,2932
MD,Full-time,94,10000
CO,Self-employed,29,15000
CT,Employed,3,15000
WI,Employed,1,2000
IL,Employed,117,10000
OH,Employed,84,4000
GA,Full-time,27,14000
IL,Full-time,279,2000
PA,Full-time,24,3000
IN,Employed,23,4000
AL,Employed,56,4000
,Self-employed,37,3000
WA,Full-time,27,13400
TX,Employed,130,2000
WA,Employed,232,15000
CA,Part-time,18,2000
CA,Employed,44,6000
MA,Employed,23,15000
NC,Employed,125,10000
GA,Full-time,180,4000
,Not available,,1000
NJ,Full-time,35,12000
LA,Employed,93,15000
NC,Not employed,8,5000
NY,Employed,107,14000
CA,Full-time,47,2551
FL,Not available,,1000
TX,Employed,7,10000
TX,Employed,52,10000
SC,Part-time,13,12500
MO,Full-time,117,8600
MD,Employed,35,5000
IL,Employed,70,6000
KY,Employed,125,4000
CT,Full-time,33,3000
WI,Employed,551,4000
KY,Employed,126,3000
KY,Other,111,2500
MD,Full-time,20,5000
UT,Employed,13,9000
AZ,Full-time,20,2500
OH,Employed,249,20000
IL,Employed,39,3500
WA,Employed,395,22000
OK,Full-time,259,2200
IL,Employed,124,10000
NY,Employed,4,3333
CO,Full-time,10,6500
NY,Employed,57,7500
MI,Employed,265,10000
MN,Employed,83,15000
MN,Employed,265,15000
CA,Employed,30,15000
PA,Full-time,25,5500
NY,Employed,52,4000
OR,Employed,22,5500
OR,Full-time,27,3000
KS,Employed,269,12475
CA,Other,0,4000
SC,Other,198,12500
IL,Full-time,44,2000
CA,Full-time,201,9000
FL,Employed,109,3500
MS,Employed,200,15000
MD,Employed,19,4500
IN,Employed,79,9310
FL,Not employed,9,10000
GA,Full-time,125,6500
,Not available,,10000
WA,Full-time,247,15000
MS,Employed,281,3600
CA,Employed,381,12000
WA,Employed,108,4000
GA,Employed,14,2900
,Not available,,2200
MN,Employed,87,5500
FL,Employed,120,7500
NC,Employed,110,4000
WI,Employed,71,13500
LA,Employed,4,2000
MO,Not available,,1200
CA,Self-employed,3,6000
MD,Not employed,7,4000
OH,Other,276,3500
MN,Retired,25,1000
NJ,Employed,41,24800
TX,Employed,145,15000
CA,Not available,,10000
VA,Employed,158,15000
KY,Employed,211,3800
TX,Employed,54,15000
NY,Employed,89,25000
FL,Employed,79,3000
NY,Employed,3,3000
NC,Employed,60,13000
VA,Employed,67,4000
CA,Self-employed,32,20000
MA,Employed,19,10000
MO,Employed,169,20000
OK,Employed,1,10000
KS,Employed,311,10000
FL,Employed,13,7000
AZ,Employed,187,15000
WV,Employed,20,4000
GA,Full-time,24,8000
OH,Employed,29,15000
OK,Employed,56,4000
AZ,Full-time,24,1500
VA,Employed,116,10000
GA,Not available,,9999
TX,Self-employed,113,4000
GA,Not available,,3001
WA,Self-employed,26,10000
NY,Full-time,12,5500
TX,Full-time,27,4000
NC,Employed,106,15000
CA,Full-time,134,25000
FL,Employed,48,7000
WI,Employed,114,30000
CA,Employed,75,5000
NY,Full-time,9,1000
CA,Employed,1,15000
TX,Employed,178,9000
VA,Other,55,4000
MI,Employed,287,8000
CO,Employed,308,12000
AL,Employed,93,4000
FL,Other,534,3500
CA,Employed,85,30000
RI,Employed,101,15000
OR,Employed,105,9000
AR,Other,35,4000
CA,Employed,181,15000
NY,Employed,157,2000
OH,Employed,117,2000
NJ,Full-time,5,1100
FL,Employed,74,7500
NJ,Employed,53,20000
FL,Employed,19,4000
NY,Employed,60,10000
CA,Employed,269,15000
FL,Full-time,227,1500
GA,Not available,,3001
IL,Not available,,17500
MO,Not available,,2100
IL,Employed,30,5000
MA,Employed,11,4000
AL,Full-time,46,3000
NY,Employed,73,3000
NY,Employed,15,11000
VA,Full-time,8,7000
CO,Full-time,3,1000
PA,Employed,59,6000
OH,Full-time,384,6000
MO,Employed,95,2500
NY,Employed,18,7000
MN,Full-time,347,2000
CO,Employed,39,4000
VA,Employed,19,4000
MD,Employed,141,7500
MS,Employed,36,2000
OH,Full-time,63,2500
NY,Employed,49,15000
MI,Full-time,10,4000
NJ,Employed,61,7500
CA,Full-time,214,4600
CA,Employed,17,9000
,Not available,,1000
TX,Employed,182,7500
MA,Full-time,154,20000
WI,Employed,31,20000
NC,Employed,25,3000
